Cluster	CellType	Dev_Branch	DPcolor
0	Erythroblasts	Erythropoieisis	'#df583c'
1	Myeloblasts	Granulopoieisis	'#7570b3'
10	Erythroblasts	Erythropoieisis	'#b02f16'
11	Pro-B	Lymphopoieisis	'#a6761d'
12	Monocytes	Granulopoieisis	'#6f277b'
13	Basophils	Granulopoieisis	'#1f78b4'
14	Pericytes	Vasculature	'#e7298a'
15	Erythroblasts	Erythropoieisis	'#a0220a'
16	Pre-B	Lymphopoieisis	'#8b4f4c'
17	Megakaryocytes	Megakaryopoieisis	'#66a61e'
18	T-NK	Lymphopoieisis	'#e6ab02'
19	Endothelial Cells	Vasculature	'#666666'
2	Erythroblasts	Erythropoieisis	'#cf4a2f'
3	Erythroblasts	Erythropoieisis	'#ef6548'
4	Erythroblasts	Erythropoieisis	'#c03d23'
5	Erythroblasts	Erythropoieisis	'#df583c'
6	HSPCs	Hematopoieisis	'#1b9e77'
7	Monoblasts	Granulopoieisis	'#984ea3'
8	Neutrophils	Granulopoieisis	'#5643ad'
9	Myelocytes	Granulopoieisis	'#6655a1'
